时间,模型,积分消耗,当前余额积分
03-02 21:26:06,deepseek-v3,28,88647
03-02 21:25:17,gpt-4o-mini,4,88651
03-02 21:25:02,img-chatgpt-4o-latest,2000,90651
03-02 21:25:02,chatgpt-4o-latest,552,91203
03-02 20:13:56,deepseek-r1,242,91445
03-02 20:12:47,deepseek-r1,183,91628
03-02 20:13:55,gpt-4o-mini,12,91640
03-02 19:27:21,gpt-4o-mini,1,91641
03-02 19:27:17,deepseek-r1,7,91648
03-02 18:14:35,gpt-4o-mini,5,91653
03-02 18:14:08,deepseek-r1,96,91749
03-02 17:11:37,gpt-4o-mini,48,91797
03-02 17:10:34,gpt-4o-mini,37,91834
03-02 17:09:42,gpt-4o-mini,25,91859
03-02 17:09:03,gpt-4o-mini,18,91877
03-02 15:41:37,img-chatgpt-4o-latest,2000,93877
03-02 15:41:37,chatgpt-4o-latest,240,94117
03-02 15:41:23,img-chatgpt-4o-latest,2000,96117
03-02 15:41:23,chatgpt-4o-latest,119,96236
03-02 15:40:59,img-chatgpt-4o-latest,2000,98236
03-02 15:40:59,chatgpt-4o-latest,81,98317
03-02 15:39:19,gpt-4o-mini,1,98318
03-02 15:39:15,img-chatgpt-4o-latest,1000,99318
03-02 15:39:15,chatgpt-4o-latest,66,99384
03-02 12:36:23,gpt-4o-mini,7,99391
03-02 12:35:45,deepseek-r1,116,99507
03-02 12:35:23,gpt-4o-mini,3,99510
03-02 12:35:20,gpt-4o-mini,17,99527
03-02 12:28:12,gpt-4o-mini,1,99528
03-02 12:28:10,gpt-4o-mini,2,99530
03-02 12:27:03,gpt-4o-mini,1,99531
03-02 12:26:13,gpt-4o-mini,1,99532
03-02 06:33:15,gpt-4o-mini,4,99536
03-02 06:32:55,gpt-4o-mini,13,99549
03-02 05:25:50,gpt-4o-mini,5,99554
03-02 05:25:46,gpt-4o-mini,17,99571
03-02 05:04:09,pay,-100000,-429
03-01 23:42:10,gpt-4o,612,183
03-01 23:41:23,gpt-4o,194,377
03-01 22:45:55,gpt-4o,482,859
03-01 21:36:28,gpt-4o,689,1548
03-01 21:35:42,gpt-4o,1122,2670
03-01 19:44:56,gpt-4o,313,2983
03-01 19:40:17,gpt-4o,249,3232
03-01 19:34:26,gpt-4o,244,3476
03-01 19:33:42,gpt-4o,226,3702
03-01 18:35:16,gpt-4o,925,4627
03-01 18:09:57,gpt-4o,467,5094
03-01 17:57:25,gpt-4o,296,5390
03-01 14:36:09,img-gpt-4o,1000,6390
03-01 14:36:09,gpt-4o,370,6760
03-01 14:17:56,img-gpt-4o,1000,7760
03-01 14:17:56,gpt-4o,296,8056
03-01 14:11:59,gpt-4o,3322,11378
03-01 13:31:29,gpt-4o,3327,14705
03-01 13:27:13,gpt-4o,2418,17123
03-01 13:24:06,gpt-4o,2865,19988
03-01 13:22:52,gpt-4o,2500,22488
03-01 13:17:15,gpt-4o,2127,24615
03-01 13:15:08,gpt-4o,1761,26376
03-01 13:14:30,gpt-4o,1390,27766
03-01 11:23:20,gpt-4o,922,28688
03-01 10:36:11,gpt-4o,1293,29981
03-01 10:25:34,gpt-4o,301,30282
03-01 10:24:44,gpt-4o,561,30843
03-01 10:14:54,gpt-4o,808,31651
03-01 04:52:41,deepseek-r1,146,31797
03-01 04:42:28,deepseek-r1,144,31941
03-01 04:41:34,gpt-4o-mini,1,31942
03-01 04:41:32,deepseek-r1,2,31944
03-01 04:40:36,gpt-4o-mini,3,31947
